Nombre,Letra,Versos
Campanita de oro (a),"Campanita de oro, si yo te comprara, se la diera al niño para que jugara. Campanitas de oro, torres de marfil, canten a este niño que se va a dormir. Campanas de plata, torres de cristal, canten a este niño que ha de descansar.","Campanita de oro,
si yo te comprara,
se la diera al niño
para que jugara.
Campanitas de oro,
torres de marfil,
canten a este niño
que se va a dormir.
Campanas de plata,
torres de cristal,
canten a este niño
que ha de descansar."
En la “Danza de Toreadores” (b),"Campanita de oro con cordón de lazo, arrea al caporal para este pedazo. Campanita de oro con cordón de cuero, arrea al caporal para este potrero. Mangas de gamuza, calzón de sayal, recoge la zaraza por la calle real. Campanita de oro con cordón de seda, arrea al caporal y a los que se quedan. Repique en San Francisco, responde Catedral. ¡Qué limpia va bajando la Santa Trinidad! Campanitas de oro, pájaros de abril, cántenle a mi toro que se va a dormir.","Campanita de oro
con cordón de lazo,
arrea al caporal
para este pedazo.
Campanita de oro
con cordón de cuero,
arrea al caporal
para este potrero.
Mangas de gamuza,
calzón de sayal,
recoge la zaraza
por la calle real.
Campanita de oro
con cordón de seda,
arrea al caporal
y a los que se quedan.
Repique en San Francisco,
responde Catedral.
¡Qué limpia va bajando
la Santa Trinidad!
Campanitas de oro,
pájaros de abril,
cántenle a mi toro
que se va a dormir."
Cuchito,"Cuchito, Cuchito, mató a su mujer con un cuchillito del tamaño de él. Le sacó las tripas y las fue a vender: “¡Mercarán tripitas de mala mujer!”","Cuchito, Cuchito,
mató a su mujer
con un cuchillito
del tamaño de él.
Le sacó las tripas
y las fue a vender:
“¡Mercarán tripitas
de mala mujer!”"
Arrullo de Tabasco,"De San Juan quiero la pluma, de San Francisco el cordón, de Santa Rita la espina y de Jesús el corazón.","De San Juan quiero la pluma,
de San Francisco el cordón,
de Santa Rita la espina
y de Jesús el corazón."
Arrullo tojolabal,"Uayei mi pichito, que tengo que hacer, lavar tus pañales, sentarme a coser, una camisita que te has de poner el día de tu santo al amanecer. Dormite, niñito, dormite, por Dios, si no viene el brujo, y te va a comer.","Uayei mi pichito,
que tengo que hacer,
lavar tus pañales,
sentarme a coser,
una camisita
que te has de poner
el día de tu santo
al amanecer.
Dormite, niñito,
dormite, por Dios,
si no viene el brujo,
y te va a comer."
Las Margaritas,"Si las Margaritas fueran de mamón, cuántas Margaritas me comiera yo; pero tienen uñas, saben arañar; ya vienen los yanquis, se las llevarán.","Si las Margaritas
fueran de mamón,
cuántas Margaritas
me comiera yo;
pero tienen uñas,
saben arañar;
ya vienen los yanquis,
se las llevarán."
Arrullo mexicano del siglo XIX,"Cuando las palomitas bajan al agua, todas juntan sus piquitos y tienden l’ala. Sí, sí, paloma; sí, sí, torcaza; hay amores a la polka y a la Colasa.","Cuando las palomitas
bajan al agua,
todas juntan sus piquitos
y tienden l’ala.
Sí, sí, paloma; sí, sí, torcaza;
hay amores a la polka y a la Colasa."
La calandria,"En una jaula de oro pendiente de un balcón lloraba una calandria, lloraba su prisión. A la ru y a la rurrurrá, duérmete, chiquito, y duérmete ya. Y luego un gorrioncillo que su lamento oyó se acercó a la jaula y la vio, la vio, la vio. A la ru y a la rurrurrá, duérmete, chiquito, y duérmete ya. Y luego la calandria de este modo le habló: si me sacas de aquí, me voy contigo yo. A la ru y a la rurrurrá, duérmete, chiquito, y duérmete ya. Y luego el gorrioncillo al momento se salió con alas, patas, pico los alambres reventó. A la ru y a la rurrurrá, duérmete, chiquito, y duérmete ya. Y luego la calandria al momento que salió y allá se fue volando del gusto que le dio. A la ru y a la rurrurrá, duérmete, chiquito, y duérmete ya. Y luego el gorrioncillo al momento la siguió, a ver si le cumplía la palabra que le dio. A la ru y a la rurrurrá, duérmete, chiquito, y duérmete ya. Y luego la calandria esto le contestó: –Ni he sido presa nunca, ni te conozco yo. A la ru y a la rurrurrá, duérmete, chiquito, y duérmete ya. Y luego el gorrioncillo al momento se volvió se metió en la jaula y lloró, lloró, lloró. A la ru y a la rurrurrá, duérmete, chiquito, y duérmete ya.","En una jaula de oro
pendiente de un balcón
lloraba una calandria,
lloraba su prisión.
A la ru y a la rurrurrá,
duérmete, chiquito, y duérmete ya.
Y luego un gorrioncillo
que su lamento oyó
se acercó a la jaula
y la vio, la vio, la vio.
A la ru y a la rurrurrá,
duérmete, chiquito, y duérmete ya.
Y luego la calandria
de este modo le habló:
si me sacas de aquí,
me voy contigo yo.
A la ru y a la rurrurrá,
duérmete, chiquito, y duérmete ya.
Y luego el gorrioncillo
al momento se salió
con alas, patas, pico
los alambres reventó.
A la ru y a la rurrurrá,
duérmete, chiquito, y duérmete ya.
Y luego la calandria
al momento que salió
y allá se fue volando
del gusto que le dio.
A la ru y a la rurrurrá,
duérmete, chiquito, y duérmete ya.
Y luego el gorrioncillo
al momento la siguió,
a ver si le cumplía
la palabra que le dio.
A la ru y a la rurrurrá,
duérmete, chiquito, y duérmete ya.
Y luego la calandria
esto le contestó:
–Ni he sido presa nunca,
ni te conozco yo.
A la ru y a la rurrurrá,
duérmete, chiquito, y duérmete ya.
Y luego el gorrioncillo
al momento se volvió
se metió en la jaula
y lloró, lloró, lloró.
A la ru y a la rurrurrá,
duérmete, chiquito, y duérmete ya."
Arrullo moderno de Chavinda,"A la pi, pi, pí, del avión, vión, vión del avión, vión, vión, de la bolinchón. A la pi, pi, pí, de la pi piñá, duérmete mi niña del corazón.","A la pi, pi, pí, del avión, vión, vión
del avión, vión, vión, de la bolinchón.
A la pi, pi, pí, de la pi piñá,
duérmete mi niña del corazón."
"Que rorro, que nene","Que rorro, que nene, que tan, tan, tan; que atole de leche para Don Juan.","Que rorro, que nene,
que tan, tan, tan;
que atole de leche
para Don Juan."
"Duérmete, niña bonita","Duérmete, niña bonita, duérmete, chiquitita, duérmete, que ahí viene el viejo y te arrancará el pellejo y te pondrá otro más viejo.","Duérmete, niña bonita,
duérmete, chiquitita,
duérmete, que ahí viene el viejo
y te arrancará el pellejo
y te pondrá otro más viejo."
A la rurru raca,A la rurru raca patitas de vaca. A la rurru raco patitas de pato.,"A la rurru
raca
patitas
de vaca.
A la rurru
raco
patitas
de pato."
"Rurrú, ru camaleón","Rurrú ru camaleón, rurrú ru camaleón; su nana becerro y su tata gurrión.","Rurrú ru camaleón,
rurrú ru camaleón;
su nana becerro y
su tata gurrión."
Arrullo mestizo de Chavinda,"Rurru, carrurru, cabeza de burro, ru y rú y rú camarón. Su tata y su nana se fueron a León, a ver el convite del viejo pelón.","Rurru, carrurru,
cabeza de burro,
ru y rú
y rú camarón.
Su tata y su nana
se fueron a León,
a ver el convite
del viejo pelón."
Rurru que rurru,"Rurru que rurru, rorro, rorró, rurru que rurru, rurru rurrú, Duérmete, niño, duérmete ya, que ahí viene el viejo y te comerá.","Rurru que rurru,
rorro, rorró,
rurru que rurru,
rurru rurrú,
Duérmete, niño,
duérmete ya,
que ahí viene el viejo
y te comerá."
Arrullo mestizo de México,"Duérmete, mi niño con todo y tambache, tu madre la zorra, tu padre el tlacuache. Duérmete, niñita, que ahí viene el viejo, a llevarte viene con todo y pellejo. Duérmete, niñito, que ahí viene el coyote, a llevarte viene y a comerte al monte. Duérmete, mi niño, que estás en cajón; tu madre la zorra, tu padre el tejón. Duérmete, niñito, no venga el caucón, te quite la vida y a mí el corazón.","Duérmete, mi niño
con todo y tambache,
tu madre la zorra,
tu padre el tlacuache.
Duérmete, niñita,
que ahí viene el viejo,
a llevarte viene
con todo y pellejo.
Duérmete, niñito,
que ahí viene el coyote,
a llevarte viene
y a comerte al monte.
Duérmete, mi niño,
que estás en cajón;
tu madre la zorra,
tu padre el tejón.
Duérmete, niñito,
no venga el caucón,
te quite la vida
y a mí el corazón."
"Duérmase, niño","Duérmase, niño, que ahí viene el viejo, le come la carne, le deja el pellejo; su mama la rata, su papa el conejo.","Duérmase, niño,
que ahí viene el viejo,
le come la carne,
le deja el pellejo;
su mama la rata,
su papa el conejo."
Arrullo de negros,"A la rorro, niño, a la rorro ya, ay, podque si viene el coco, te comeá y te comeá. Duédmete niño, y duédmete ya podque si viene el tata te pegadá y te pegadá. Duédmete, niño, y duédmete ya, ya vienen los angelitoj y te llevadá y te llevadá. Cierra tus ojitoj, tus ojitoj ya, lo mismo de mañosito como el papá, como el papá.","A la rorro, niño, a la rorro ya,
ay, podque si viene el coco,
te comeá y te comeá.
Duédmete niño, y duédmete ya
podque si viene el tata
te pegadá y te pegadá.
Duédmete, niño, y duédmete ya,
ya vienen los angelitoj
y te llevadá y te llevadá.
Cierra tus ojitoj, tus ojitoj ya,
lo mismo de mañosito
como el papá, como el papá."
Tengo manita,"Tengo manita, no tengo manita, porque la tengo desconchabadita.","Tengo manita,
no tengo manita,
porque la tengo
desconchabadita."
La mano de la negra,"Que se le cae la mano a la negra, que se le cae y que se le quiebra.","Que se le cae
la mano a la negra,
que se le cae
y que se le quiebra."
La toca de la negra (a),"Que se le quema la toca a la negra, que se le quema, que se le abrasa, que se le quema la calabaza. Que se le quema la toca a la negra, que se le quema, que se le abrasa, que se le quema toda su casa.","Que se le quema
la toca a la negra,
que se le quema,
que se le abrasa,
que se le quema
la calabaza.
Que se le quema
la toca a la negra,
que se le quema,
que se le abrasa,
que se le quema
toda su casa."
La toca de la negra (b),"Que se le quema su toca a la negra, que se le quema, que se le abrasa; que se le quema su calabaza, que se le quema todita su casa.","Que se le quema
su toca a la negra,
que se le quema,
que se le abrasa;
que se le quema
su calabaza,
que se le quema
todita su casa."
La pata de conejo (a),"Menea la pata de conejo, menéala tú, perro viejo. Cuando vayas a casa tío Peña, con la patita le haces la seña.","Menea la pata
de conejo,
menéala tú,
perro viejo.
Cuando vayas
a casa tío Peña,
con la patita
le haces la seña."
La pata de conejo (b),"Cuando voy a casa de Peña, con la patita le hago la seña. Ven acá, burrito viejo, daca la pata de conejo.","Cuando voy
a casa de Peña,
con la patita
le hago la seña.
Ven acá,
burrito viejo,
daca la pata
de conejo."
La patita,"Mueve la pata, perro viejo, mueve la pata de conejo. Mueve la pata, perro ganso, mueve la pata de garbanzo.","Mueve la pata,
perro viejo,
mueve la pata
de conejo.
Mueve la pata,
perro ganso,
mueve la pata
de garbanzo."
Los ratoncitos,"Que son tantos y tantitos, que son tantos los ratoncitos; que son tantos y tantotes, que son tantos los ratonzotes.","Que son tantos y tantitos,
que son tantos los ratoncitos;
que son tantos y tantotes,
que son tantos los ratonzotes."
Quiquiriquí,¡Quiquiriquí! Canta el gallito; –a mí no me quieren por ser chiquitito.,"¡Quiquiriquí!
Canta el gallito;
–a mí no me quieren
por ser chiquitito."
Caballo de pita (a),"Caballo de pita, caballo de lana, vamos a la guerra del cojo Santa Anna. Y hágase p’acá, y hágase p’allá, que mi caballito lo atropellará.","Caballo de pita,
caballo de lana,
vamos a la guerra
del cojo Santa Anna.
Y hágase p’acá,
y hágase p’allá,
que mi caballito
lo atropellará."
Los caballitos (b),"De esos caballos que vienen y van ninguno me gusta como el alazán. Hágase p’acá, hágase p’allá, que mi caballito lo atropellará. De esos caballos que vende usted ninguno me gusta como el que se fue. Hágase p’acá, hágase p’allá, que mi caballito lo atropellará.","De esos caballos
que vienen y van
ninguno me gusta
como el alazán.
Hágase p’acá,
hágase p’allá,
que mi caballito
lo atropellará.
De esos caballos
que vende usted
ninguno me gusta
como el que se fue.
Hágase p’acá,
hágase p’allá,
que mi caballito
lo atropellará."
Los caballitos (c),"Hágase p’acá, hágase p’allá, que mi caballito lo atrompillará. De los caballitos que vienen y van el que más me gusta es el alazán.","Hágase p’acá,
hágase p’allá,
que mi caballito
lo atrompillará.
De los caballitos
que vienen y van
el que más me gusta
es el alazán."
Riquirrán,"Riquirrán, riquirrán, los maderos de San Juan piden pan y no se los dan, piden queso y les dan un hueso para que se rasquen ese pescuezo.","Riquirrán, riquirrán,
los maderos de San Juan
piden pan y no se los dan,
piden queso y les dan un hueso
para que se rasquen
ese pescuezo."
Oración de la tarde,"¡Ave María Purísima del refugio! ¡Sin pecado original concebida! ¡Bendita sea la hora que canta la aurora, el hombre la reza y el ángel la adora!","¡Ave María Purísima del refugio!
¡Sin pecado original concebida!
¡Bendita sea la hora
que canta la aurora,
el hombre la reza
y el ángel la adora!"
"Vamos, niño, al Sagrario","Vamos, niños, al Sagrario, que Jesús llorando está; pero viendo tantos niños qué contento se pondrá. No llores, Jesús, no llores, que nos vas a hacer llorar, que los niños de esta casa te queremos consolar.","Vamos, niños, al Sagrario,
que Jesús llorando está;
pero viendo tantos niños
qué contento se pondrá.
No llores, Jesús, no llores,
que nos vas a hacer llorar,
que los niños de esta casa
te queremos consolar."
Al Santo Niño de Atocha,"El Niño de Atocha no se halla en Plateros, se halla en los caminos amparando arrieros. Niñito de Atocha, Manuel de Jesús, reluciente antorcha, nuestro amparo y luz. Niñito de Atocha, ya vine de viaje, y aquí te traigo tu varita y tu guaje.","El Niño de Atocha
no se halla en Plateros,
se halla en los caminos
amparando arrieros.
Niñito de Atocha,
Manuel de Jesús,
reluciente antorcha,
nuestro amparo y luz.
Niñito de Atocha,
ya vine de viaje,
y aquí te traigo
tu varita y tu guaje."
Alabanza a San Miguel,"–¡Quién como Dios! –Nadie como él. –Santo, Santo, Santo, Señor San Miguel. –¡Quién como Dios! –Alaba su poder Santo, Santo, Santo, Señor San Miguel.","–¡Quién como Dios!
–Nadie como él.
–Santo, Santo, Santo,
Señor San Miguel.
–¡Quién como Dios!
–Alaba su poder
Santo, Santo, Santo,
Señor San Miguel."
Bendita sea tu pureza,"Bendita sea tu pureza y eternamente lo sea, pues todo un Dios se recrea en tu graciosa belleza. A ti, celestial princesa, Virgen, sagrada María, yo te ofrezco en este día alma, vida y corazón; mírame con compasión, no me dejes, madre mía.","Bendita sea tu pureza
y eternamente lo sea,
pues todo un Dios se recrea
en tu graciosa belleza.
A ti, celestial princesa,
Virgen, sagrada María,
yo te ofrezco en este día
alma, vida y corazón;
mírame con compasión,
no me dejes, madre mía."
¿Quién es aquella Señora? (a),–¿Quién es aquella Señora que anda por el corredor? –Santa María Magdalena prima hermana del Señor.,"–¿Quién es aquella Señora
que anda por el corredor?
–Santa María Magdalena
prima hermana del Señor."
¿Quién es aquella Señora? (b),"–¿Quién es aquella Señora que anda por el corredor? –Santa María Magdalena que anda en busca del señor. Del tronco salió una rama y de la rama, una flor y de la flor, una imagen de la Limpia Concepción.","–¿Quién es aquella Señora
que anda por el corredor?
–Santa María Magdalena
que anda en busca del señor.
Del tronco salió una rama
y de la rama, una flor
y de la flor, una imagen
de la Limpia Concepción."
A la Virgen de Guadalupe,"¡Oh virgen, niña Lupita, alabada sea tu gloria! Y si quieres más cariños te los damos desde ahora. Con tu cara de rosita, y con tus ojos vivitos, y tus manos rechiquitas pareces un angelito. Ya no más que tú quisieras una puertita en el cielo l’ibas a dejar abierta y para nuestro consuelo. Bendito día de diciembre y de tus apariciones, eres mi niña Lupita la salvación de los hombres.","¡Oh virgen, niña Lupita,
alabada sea tu gloria!
Y si quieres más cariños
te los damos desde ahora.
Con tu cara de rosita,
y con tus ojos vivitos,
y tus manos rechiquitas
pareces un angelito.
Ya no más que tú quisieras
una puertita en el cielo
l’ibas a dejar abierta
y para nuestro consuelo.
Bendito día de diciembre
y de tus apariciones,
eres mi niña Lupita
la salvación de los hombres."
Albricias a la Virgen de Guadalupe,"¡Albricias! Almas cristianas, que ya viene aquí María; encumbran sus resplandores, ya viene la luz del día. Dele vuelta a esas esquilas, repiquen esas campanas, que nos viene a visitar la Virgen Guadalupana. Extiendan las varipalias compongan esos caminos, porque nos viene alumbrando con esos ojos divinos. Vamos, vamos a encontrarla, apresuremos los pasos; que nos viene a visitar pasando muchos trabajos. Vamos, vamos a encontrarla, demos el paso veloz, háganlo con reverencia, que es María, Madre de Dios. Madre mía de Guadalupe, tu visita no merezco; para la hora de mi muerte estas albricias te ofrezco.","¡Albricias! Almas cristianas,
que ya viene aquí María;
encumbran sus resplandores,
ya viene la luz del día.
Dele vuelta a esas esquilas,
repiquen esas campanas,
que nos viene a visitar
la Virgen Guadalupana.
Extiendan las varipalias
compongan esos caminos,
porque nos viene alumbrando
con esos ojos divinos.
Vamos, vamos a encontrarla,
apresuremos los pasos;
que nos viene a visitar
pasando muchos trabajos.
Vamos, vamos a encontrarla,
demos el paso veloz,
háganlo con reverencia,
que es María, Madre de Dios.
Madre mía de Guadalupe,
tu visita no merezco;
para la hora de mi muerte
estas albricias te ofrezco."
A la Santa Cruz,"Las gracias le demos a la Santa Cruz, madero sagrado, cama de Jesús. Con esos tres clavos, que tiene la Cruz, con ellos clavaron a nuestro Jesús. Las gracias le demos a la Santa Cruz, madero sagrado, cama de Jesús. Allá en el Calvario llevaron la Cruz, la Virgen lloraba, murió su Jesús. Las gracias le demos a la Santa Cruz, madero sagrado, cama de Jesús. Por esas insignias que tiene la Cruz, nunca nos olvides, mi Padre Jesús. Las gracias le demos a la Santa Cruz, madero sagrado, cama de Jesús.","Las gracias le demos
a la Santa Cruz,
madero sagrado,
cama de Jesús.
Con esos tres clavos,
que tiene la Cruz,
con ellos clavaron
a nuestro Jesús.
Las gracias le demos
a la Santa Cruz,
madero sagrado,
cama de Jesús.
Allá en el Calvario
llevaron la Cruz,
la Virgen lloraba,
murió su Jesús.
Las gracias le demos
a la Santa Cruz,
madero sagrado,
cama de Jesús.
Por esas insignias
que tiene la Cruz,
nunca nos olvides,
mi Padre Jesús.
Las gracias le demos
a la Santa Cruz,
madero sagrado,
cama de Jesús."
Jaculatoria,"De mi corazón quisiera haceros una carroza, pa’que en ella caminaran el caso José y su esposa.","De mi corazón quisiera
haceros una carroza,
pa’que en ella caminaran
el caso José y su esposa."
Bendito y alabado,"Y bendito y alabado por toda la eternidad, y así sea por los siglos y de los siglos, amén.","Y bendito y alabado
por toda la eternidad,
y así sea por los siglos
y de los siglos, amén."
"Ándale, Anita","Ándale, Anita, no te dilates con la charola de los cacahuates.","Ándale, Anita,
no te dilates
con la charola
de los cacahuates."
Tengo una canasta,Tengo una canasta llena de alverjones para mis muchachos que son muy tragones.,"Tengo una canasta
llena de alverjones
para mis muchachos
que son muy tragones."
Para quebrar la piñata,"Dale, dale, dale, no pierdas el tino mide la distancia que hay en el camino.","Dale, dale, dale,
no pierdas el tino
mide la distancia
que hay en el camino."
"Veníd, pastorcitos","Venid, pastorcitos, venid a adorar al Rey de los Cielos que ha nacido ya.","Venid, pastorcitos,
venid a adorar
al Rey de los Cielos
que ha nacido ya."
"Vámonos, pastores","Vámonos, pastores, vamos a Belén, a ver a la Virgen y al Niño también, que ha nacido el Niño para nuestro bien.","Vámonos, pastores,
vamos a Belén,
a ver a la Virgen
y al Niño también,
que ha nacido el Niño
para nuestro bien."
"Caminen, pastores, ¡caramba!","Caminen, pastores, ¡caramba! Que ahí viene Miguel con la espada en la mano ¡caramba! para Lucifer ¡ay caramba! para Lucifer.","Caminen, pastores, ¡caramba!
Que ahí viene Miguel
con la espada en la mano ¡caramba!
para Lucifer ¡ay caramba!
para Lucifer."
Naranjas y limas (a),"Naranjas y limas, limas y limones; más linda es la Virgen que todas las flores. En un portalito de cal y de arena nació Jesucristo una Noche Buena. Y a la media noche el gallo cantó y en su canto dijo: –“Ya Cristo nació”. Salgan para afuera verán que primores; verán a la rama cubierta de flores. Salgan para afuera, verán que bonito; verán a la rama con sus farolitos. Ya se ve la rama muy agradecida, porque en esta casa fue bien recibida. Ya se va la rama muy desconsolada, porque en esta casa no le dieron nada. Vámonos muchachos, que ya son las nueve; no venga la “julia” y a todos nos llueve. Dénme mi aguinaldo si me lo han de dar; que la noche es larga, tenemos que andar.","Naranjas y limas,
limas y limones;
más linda es la Virgen
que todas las flores.
En un portalito
de cal y de arena
nació Jesucristo
una Noche Buena.
Y a la media noche
el gallo cantó
y en su canto dijo:
–“Ya Cristo nació”.
Salgan para afuera
verán que primores;
verán a la rama
cubierta de flores.
Salgan para afuera,
verán que bonito;
verán a la rama
con sus farolitos.
Ya se ve la rama
muy agradecida,
porque en esta casa
fue bien recibida.
Ya se va la rama
muy desconsolada,
porque en esta casa
no le dieron nada.
Vámonos muchachos,
que ya son las nueve;
no venga la “julia”
y a todos nos llueve.
Dénme mi aguinaldo
si me lo han de dar;
que la noche es larga,
tenemos que andar."
Naranjas y limas (b),"Naranjas y limas, limas y limones; más linda es la Virgen que todas las flores. A la media noche un rayo de luz y una hermosa estrella alumbró a Jesús. Los Tres Reyes vienen todos del Oriente, y le traen al niño un rico presente.","Naranjas y limas,
limas y limones;
más linda es la Virgen
que todas las flores.
A la media noche
un rayo de luz
y una hermosa estrella
alumbró a Jesús.
Los Tres Reyes vienen
todos del Oriente,
y le traen al niño
un rico presente."
